OppName,FPI,FPI_diff,Surface,Month,Year,Site,Type,Count,Yards,TD Gained
Troy,5.9,-3.1,Turf,12,2023,Neutral,Kicks_Punts_Blocked,0,,
Clemson,13.8,4.8,Grass,9,2023,Home,Opp_Penalties,1,5,
Lafayette,,,Grass,9,2023,Home,Opp_Penalties,6,74,
Northwestern,0.8,-8.2,Grass,9,2023,Home,Opp_Penalties,1,8,
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Opp_Penalties,5,64,
Notre Dame,20.7,11.7,Grass,9,2023,Home,Opp_Penalties,12,70,
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Opp_Penalties,11,87,
Florida St.,19.8,10.8,Grass,10,2023,Away,Opp_Penalties,8,50,
Louisville,11.4,2.4,Turf,10,2023,Away,Opp_Penalties,4,45,
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Opp_Penalties,5,54,
North Carolina,10.2,1.2,Turf,11,2023,Away,Opp_Penalties,3,20,
Virginia,-5.3,-14.3,Grass,11,2023,Away,Opp_Penalties,12,117,
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Opp_Penalties,9,93,
Troy,5.9,-3.1,Turf,12,2023,Neutral,Opp_Penalties,5,58,
