OppName,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,COVID_Limit,Rain,City,State,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,First_Game,First_Home_Game,Win_Streak,New_Coach,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Future_Game,Rennovated
Troy,-10,6.5,-16.5,8.2,-5.4,-3.7,Grass,9,28,2013,Sat,15,Home,W,38,31,7,30126,88.7599069,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,1,2,2,FALSE,FALSE
Navy,3.6,6.5,-2.9,8.2,-5,-3.3,Grass,10,12,2013,Sat,12.5,Home,W,35,7,28,23749,69.971421,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,1,2,3,FALSE,FALSE
Virginia,-6.1,6.5,-12.6,8.2,-2,-0.3,Grass,10,19,2013,Sat,15.5,Away,W,35,22,13,39071,64,NA,FALSE,,Charlottesville,VA,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,2,FALSE,2,2,2,3,FALSE,FALSE
Virginia Tech,8.8,6.5,2.3,8.2,6.5,8.2,Grass,10,26,2013,Sat,15.5,Away,W,13,10,3,63326,96,NA,FALSE,,Blacksburg,VA,ESPNU,FALSE,NA,14,NA,FALSE,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,3,FALSE,2,3,3,3,FALSE,FALSE
North Carolina St.,-5.5,6.5,-12,8.2,3.5,5.2,Grass,11,9,2013,Sat,16,Home,W,38,20,18,32010,94.31071565,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
Miami (Fla.),10.8,6.5,4.3,8.2,7,8.7,Grass,11,16,2013,Sat,15.5,Home,W,48,30,18,30044,88.51831119,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,23,NA,FALSE,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,2,3,4,5,FALSE,FALSE
Wake Forest,-3.5,6.5,-10,8.2,-7.6,-5.9,Turf,11,23,2013,Sat,12,Away,W,28,21,7,28463,90,NA,FALSE,,Winston-Salem,NC,ESPN2,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,6,FALSE,2,3,4,5,FALSE,FALSE
North Carolina,11.2,6.5,4.7,8.2,10.6,12.3,Grass,11,30,2013,Sat,12,Away,W,27,25,2,62000,100,NA,FALSE,,Chapel Hill,NC,ESPN2,FALSE,24,NA,NA,TRUE,FALSE,FALSE,,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,7,FALSE,2,3,4,5,FALSE,FALSE
Florida St.,33.2,6.5,26.7,8.2,22.7,24.4,Grass,12,7,2013,Sat,20,Neutral,L,7,45,-38,67694,NA,NA,FALSE,,Charlotte,NC,ABC,FALSE,20,1,1,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,8,FALSE,2,3,4,5,FALSE,FALSE
Texas A&M,18.8,6.5,12.3,8.2,24.2,25.9,Turf,12,31,2013,Tue,20,Neutral,L,48,52,-4,67946,95,NA,FALSE,,Atlanta,GA,ESPN,TRUE,24,21,18,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
Elon,NA,7.7,NA,1.2,NA,NA,Grass,8,30,2014,Sat,18,Home,W,52,13,39,31213,91.9625232,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,0,FALSE,0,1,2,3,FALSE,FALSE
