OppName,Year,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Site,Month,Date,Day,Start_Time,Result,DukePts,OppPts,PointDiff,COVID_Limit,AttNum,AttPct,Renovated,Future_Game,UNC_Game,First_Game,First_Home_Game,Elko,Cutcliffe,Weather,Temp,Humidity,City,State,ESPN_WinPred,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,Win_Streak,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Surface,NC_Opponent,OppCityDist
Connecticut,2004,NA,NA,NA,NA,NA,NA,Away,9,11,Sat,12,L,20,22,-2,FALSE,40000,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,FALSE,NA,TRUE,,0,1,1,2,2,,FALSE,537.14
Virginia Tech,2004,NA,NA,NA,NA,NA,NA,Away,9,18,Sat,12,L,17,41,-24,FALSE,65115,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,61,68,,,NA,,,,,,,,,,,,FALSE,NA,TRUE,,0,0,1,1,2,,FALSE,119.79
Maryland,2004,NA,NA,NA,NA,NA,NA,Home,9,25,Sat,12,L,21,55,-34,FALSE,16298,48.01862055,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,70.3,73,,,NA,,,,,,,,,,,,FALSE,NA,TRUE,,0,0,0,1,1,,FALSE,232.69
The Citadel,2004,NA,NA,NA,NA,NA,NA,Home,10,2,Sat,14,W,28,10,18,FALSE,16814,49.53890575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,81.3,67,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,1,,FALSE,229.96
Georgia Tech,2004,NA,NA,NA,NA,NA,NA,Away,10,16,Sat,12,L,7,24,-17,FALSE,46856,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,66.4,45,,,NA,,,,,,,,,,,,FALSE,FALSE,FALSE,,1,1,1,1,1,,FALSE,347.61
Virginia,2004,NA,NA,NA,NA,NA,NA,Home,10,23,Sat,13,L,16,37,-21,FALSE,24157,71.17350697,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,61.3,52,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,1,1,1,,FALSE,142.54
Wake Forest,2004,NA,NA,NA,NA,NA,NA,Away,10,30,Sat,12,L,22,24,-2,FALSE,25762,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,70,81,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,1,1,,TRUE,75.75
Florida St.,2004,NA,NA,NA,NA,NA,NA,Away,11,6,Sat,13,L,7,29,-22,FALSE,80598,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,68,33,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,493.91
Clemson,2004,NA,NA,NA,NA,NA,NA,Home,11,13,Sat,13,W,16,13,3,FALSE,24714,72.81459002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,54.3,61,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,1,,FALSE,239.73
North Carolina,2004,NA,NA,NA,NA,NA,NA,Home,11,20,Sat,12,L,17,40,-23,FALSE,30541,89.98261689,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,68.4,68,,,NA,,,,,,,,,,,,FALSE,FALSE,FALSE,,1,1,1,1,1,,TRUE,10.42
