OppName,FPI,FPI_diff,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,Rain,1stSeedQB,SchoolBreak,NatlHoliday,TV_Coverage,City,State,Bowl,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,FALSE,FALSE,FALSE
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,TRUE,TRUE,FALSE
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,TRUE,TRUE,FALSE
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,TRUE,TRUE,FALSE
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,TRUE,TRUE,FALSE
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,FALSE,TRUE,TRUE
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,FALSE,TRUE,FALSE
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,FALSE,TRUE,TRUE
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,FALSE,FALSE,TRUE
Boston College,-7.4,-12.7,Turf,11,4,2022,Fri,19,Away,W,38,31,7,34092,0.77,0.752,FALSE,TRUE,FALSE,FALSE,ESPN2,Chestnut Hill,MA,FALSE,FALSE,FALSE,FALSE,FALSE
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,FALSE,FALSE,FALSE
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,FALSE,FALSE,FALSE
Wake Forest,7.6,2.3,Grass,11,26,2022,Sat,15.5,Home,W,34,31,3,17492,0.44,0.492,FALSE,TRUE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,FALSE,FALSE,TRUE
UCF,6.9,1.6,Turf,12,28,2022,Wed,14,Neutral,W,30,13,17,17974,0.53,0.411,FALSE,TRUE,TRUE,FALSE,ESPN,Annapolis,MD,TRUE,FALSE,FALSE,FALSE,FALSE
