OppName,FPI,FPI_diff,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,Rain,1stSeedQB,SchoolBreak,NatlHoliday,TV_Coverage,City,State,Bowl,UNC_Game,Type,Attempts,Yards,AvgYd,TD_Gained,Comp,CompPct,Int,Rating,Touchbacks,TouchbackPct,OutOfBounds,Onside,Fumbles
Wake Forest,-1.7,-10.7,Grass,11,2,2023,Thu,19.5,Home,W,24,21,3,18277,0.46,0.812,FALSE,FALSE,FALSE,FALSE,ESPN,Durham,NC,FALSE,FALSE,Passing,19,86,4.526315789,1,7,36.84210526,1,81.7,,,,,
North Carolina,10.2,1.2,Turf,11,11,2023,Sat,20,Away,L,45,47,-2,50500,0.99,0.36,FALSE,FALSE,FALSE,FALSE,ACCN,Chapel Hill,NC,FALSE,TRUE,Passing,29,200,6.896551724,3,17,58.62068966,0,150.69,,,,,
Virginia,-5.3,-14.3,Grass,11,18,2023,Sat,15,Away,L,27,30,-3,36400,0.59,0.798,FALSE,FALSE,FALSE,FALSE,CW,Charlottesville,VA,FALSE,FALSE,Passing,45,270,6,2,26,57.77777778,1,118.41,,,,,
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Passing,37,248,6.702702703,2,20,54.05405405,1,122.79,,,,,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Passing,29,183,6.310344828,0,19,65.51724138,1,111.62,,,,,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Passing,30,328,10.93333333,2,24,80,0,193.84,,,,,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Passing,24,240,10,1,13,54.16666667,1,143.59,,,,,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Passing,18,198,11,2,16,88.88888889,1,206.85,,,,,
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,Passing,36,324,9,1,24,66.66666667,0,151.44,,,,,
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Passing,24,129,5.375,1,18,75,0,133.9,,,,,
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,Passing,42,136,3.238095238,1,20,47.61904762,1,77.92,,,,,
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,Passing,31,245,7.903225806,1,20,64.51612903,1,135.11,,,,,
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,Passing,25,136,5.44,1,13,52,0,110.9,,,,,
Boston College,-7.4,-12.7,Turf,11,4,2022,Fri,19,Away,W,38,31,7,34092,0.77,0.752,FALSE,TRUE,FALSE,FALSE,ESPN2,Chestnut Hill,MA,FALSE,FALSE,Passing,24,158,6.583333333,1,16,66.66666667,0,135.72,,,,,
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Passing,31,262,8.451612903,2,19,61.29032258,1,147.13,,,,,
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,Passing,45,290,6.444444444,3,24,53.33333333,0,129.46,,,,,
Wake Forest,7.6,2.3,Grass,11,26,2022,Sat,15.5,Home,W,34,31,3,17492,0.44,0.492,FALSE,TRUE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Passing,41,391,9.536585366,4,29,70.73170732,1,178.15,,,,,
UCF,6.9,1.6,Turf,12,28,2022,Wed,14,Neutral,W,30,13,17,17974,0.53,0.411,FALSE,TRUE,TRUE,FALSE,ESPN,Annapolis,MD,TRUE,FALSE,Passing,29,173,5.965517241,0,19,65.51724138,0,115.63,,,,,
Clemson,13.8,4.8,Grass,9,4,2023,Mon,20,Home,W,28,7,21,31638,0.79,0.872,FALSE,TRUE,TRUE,TRUE,ESPN,Durham,NC,FALSE,FALSE,Punt_Returns,2,27,13.5,0,,,,,,,,,
Lafayette,,,Grass,9,9,2023,Sat,18,Home,W,42,7,35,17481,0.44,0.993,TRUE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Punt_Returns,1,2,2,0,,,,,,,,,
Northwestern,0.8,-8.2,Grass,9,16,2023,Sat,15.5,Home,W,38,14,24,18141,0.45,0.698,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punt_Returns,0,0,,0,,,,,,,,,
Connecticut,-15.9,-24.9,Grass,9,23,2023,Sat,15.5,Away,W,41,7,34,29033,0.73,0.928,TRUE,TRUE,FALSE,FALSE,CBSSN,East Hartford,CT,FALSE,FALSE,Punt_Returns,4,73,18.25,0,,,,,,,,,
